sku,Upc,Name,pv_parent_dash,previous_upc,previous_sku,abbreviation,type,internal-type,item,qty
CLST-CHSK,810134440555,Cold Stone Cheesecake,1435,,,CLST,Topper,single,,
CLST-VNWC,810134440548,Cold Stone Vanilla Waffle Cone,1436,,,CLST,Topper,single,,
FS-GRHS,810134440241,Garlic & Herb Salt Finisher,1290,813327026611,FGS-GHS-1B,GRHS,Finisher,single,,
FS-HSPP,810134440104,Himalayan Salt & Pink Peppercorn Finisher,1294,813327020671,813327020671,HSPP,Finisher,single,,
RB-HNBQ,810134440272,Honey BBQ Rub,1298,813327020770,FGS-HNYBBQ,HNBQ,Rubs,single,,
RB-JMJR,810134440296,Jamaican Jerk Rub,1299,813327028301,FG-JJ,JMJR,Rubs,single,,
RB-OBBQ,810134440135,Original BBQ Rub,1308,813327025003,RUB-BBQ,OBBQ,Rubs,single,,
RB-STKC,810134440173,Steak & Chop Rub,1347,813327025362,RUB-STKCHP,STKC,Rubs,single,,
SN-BCLV,810134440333,Bacon Lovers Seasoning,1325,813327027137,FGS-BL-1B,BCLV,Seasoning,single,,
SN-BFLO,810134440197,Buffalo Seasoning,1326,813327028493,FG-BUF,BFLO,Seasoning,single,,
SN-CHPL,810134440227,Chipotle Seasoning,1328,811207026720,811207026720,CHPL,Seasoning,single,,
SN-CJLV,810134440203,Cajun Lovers Seasoning,1327,813327020701,813327020701,CJLV,Seasoning,single,,
SN-EBTS,810134440050,Everything But The Salt Seasoning,1278,813327025447,FG-EBTS,EBTS,Seasoning,single,,
SN-EVBG,810134440043,Everything Bagel Seasoning,1329,813327023962,FG-EVTNGBGL,EVBG,Seasoning,single,,
SN-EVRY,810134440067,Everything Seasoning,1280,811207024269,804879447856,EVRY,Seasoning,single,,
SN-EVSP,810134440074,Everything Spicy Seasoning,1285,811207024320,804879447863,EVSP,Seasoning,single,,
SN-GHST,810134440258,Ghost Seasoning,1335,813327025430,FG-GHST,GHST,Seasoning,single,,
SN-GRLV,810134440081,Garlic Lover's Seasoning,1330,811207024306,804879389859,GRLV,Seasoning,single,,
SN-HBNR,810134440265,Habanero Seasoning,1336,813327025973,FGS-HB-1B,HBNR,Seasoning,single,,
SN-HTWN,810134440289,Hot Wings Seasoning,1337,813327025638,FG-HTWNGS,HTWN,Seasoning,single,,
SN-ITZS,810134440111,Italian Zest Seasoning,1339,813327026758,FGS-ITZ-1B,ITZS,Seasoning,single,,
SN-KCHP,810134440302,Ketchup Seasoning,1300,813327029063,FG-KTCHP,KCHP,Seasoning,single,,
SN-LMGR,810134440128,Lemon & Garlic Seasoning,1301,811207024283,804879153375,LMGR,Seasoning,single,,
SN-NCHO,810134440319,Nacho Cheese Seasoning,1306,813327025416,FG-NACHO,NCHO,Seasoning,single,,
SN-PZA,810134440142,Pizza Seasoning,1342,813327020299,813327020299,PZA,Seasoning,single,,
SN-SRCH,810134440326,Sriracha Seasoning,1346,813327029612,FG-SRCHA,SRCH,Seasoning,single,,
SN-TACO,810134440180,Taco Tuesday Seasoning,1350,813327021739,FGS-TT-1B,TACO,Seasoning,single,,
TP-CHDN,810134440036,Chocolate Donut Topper,1275,813327020725,813327020725,CHDN,Topper,single,,
TP-CHWF,810134440210,Chicken & Waffles Seasoning Topper,1273,813327024990,TPR-CHKWFL-SNGL,CHWF,Topper,single,,
TP-FSTA,810134440234,Fiesta Sweet & Tangy Topper,1288,813327028448,SAT-1B,FSTA,Topper,single,,
TP-GBCK,810134440098,Gingerbread Cookie Topper,1291,813327021722,GBC-1B,GBCK,Topper,single,,
TP-PMPI,810134440159,Pumpkin Pie Topper,1310,813327025980,FGS-PP-1B,PMPI,Topper,single,,
TP-RNCH,810134440166,Ranch Topper,1312,813327021708,FG-RANCH,RNCH,Topper,single,,
