Status,Replacement Status,Item Name,SKU,REPLACE_WITH,Old,Simple Name,Child Name
OLD,Need,Meal Prep Combo Pack (2 Set),2PK-MPC-2,,Need,OLD - The Meal Prep Combo - 2 Pack,OLD - Everything Seasoning
OLD,Need,Meal Prep Combo Pack (4 Set),4PK-MPC-2,,Need,OLD - The Meal Prep Combo - 4 Pack,OLD - Everything Seasoning
OLD,Need,Meal Prep Combo Pack (6 Set),6PK-MPC-2,,Need,OLD - Meal Prep Combo,OLD - Everything Seasoning
OLD,Need,The Breakfast Club Duo Combo Pack (2 Set),BRKFSTCLB-DUO,,Need,OLD - The Breakfast Club - Duo,OLD - Chicken and Waffles
OLD,Substitute Sku,Pizza Seasoning (Double Pack),DBLPK-PZA,,DBLPK-PZA,OLD - Double Pack - Pizza,OLD - Pizza Seasoning
OLD,Substitute Sku,Lemon & Garlic Seasoning (Double Pack),DBLPK-LMNGRLC,,DBLPK-LMNGRLC,OLD - Double Pack - Lemon & Garlic,OLD - Lemon & Garlic Seasoning
OLD,CP-BRKFSTCLB,The Breakfast Club Trio Combo Pack (3 Set),BRKFSTCLB-TRIO,,Need,OLD - The Breakfast Club - Trio,OLD - Chicken and Waffles
OLD,CP-CHFSPC,Chef Spice Combo Pack (14 Set),CHFSPCRK-7,,Need,OLD - Chef Spice Rack,OLD - Everything Seasoning
OLD,CP-CLSC4,"Classic Combo Pack Seasoning, Pack of 4 (Everything, Everything Spicy, Garlic Lovers, Lemon & Garlic) - Spice & Seasoning Gift Set - Low Sodium Chicken,Beef, Seafood Seasoning & Chicken by Flavor God",COMBOPACK,,Need,OLD - Classic Combo Set,OLD - Everything Seasoning
OLD,Need,"Classic Combo Pack Seasoning Set of 2 (Everything, Garlic Lovers ) - Premium All Natural & Healthy Spice Blend - Low Sodium Chicken, Beef, Seafood, Chicekn Seasonings by Flavor God",CP-CLSC-2EVGL,,Need,OLD - Classic Combo 2 pack,OLD - Everything Seasoning
OLD,Need,"Classic Combo Pack Seasoning Set of 3 (Everything, Garlic Lovers, Everything Spicy ) - Premium All Natural & Healthy Spice Blend - Low Sodium Chicken, Beef, Seafood, Chicekn Seasonings by Flavor God",CP-CLSC-3EVSPGL,,Need,OLD - Classic Combo 3 pack,OLD - Everything Seasoning
OLD,Need,Holiday Combo Pack (2 Set),CP-HLDY-2PPGC,,Need,"OLD - Holiday Pack (Amazon) - 2 Bottle (Pumpkin Pie, Gingerbread)",OLD - Pumpkin Pie Seasoning
OLD,Need,Holiday Combo Pack (3 Set),CP-HLDY-3PPGCFST,,Need,"OLD - Holiday Pack (Amazon) - 3 Bottle (Pumpkin Pie, Gingerbread, Fiesta)",OLD - Pumpkin Pie Seasoning
OLD,Need,Holiday Combo Pack (4 Set),CP-HLDY-4PPGCFSTCH,,Need,"OLD - Holiday Pack (Amazon) - 4 Bottle (Pumpkin Pie, Gingerbread, Fiesta, Chocolate Donut)",OLD - Pumpkin Pie Seasoning
OLD,Need,"Keto Seasoning & Spices Pack (2 Set - Everything, Taco Tuesday ) for Keto Diet on Keto Meals, Keto Spices, No Carb Seasonings, Keto Taco Seasoning, BBQ Keto, Keto Seasoning for Chicken by Flavor God",CP-KTO-2EVTT,,Need,OLD - Keto Combo 2 pack,OLD - Everything Seasoning
OLD,Need,"Keto Seasoning & Spices Pack (4 Set - Garlic Lovers, Himalayan Salt & Pink Peppercorn) for Keto Diet on Keto Meals, Keto Spices, No Carb Seasonings, Keto Taco Seasoning, BBQ Keto, Paleo by Flavor God",CP-KTO-4EVGLTTHS,,Need,OLD - Keto Combo 4 pack,OLD - Everything Seasoning
OLD,Need,Popcorn Combo Pack (2 Set),CP-PCN-2RNPZ,,Need,OLD - Popcorn Combo 2 pack,OLD - Ranch Seasoning
OLD,Need,Popcorn Combo Pack (3 Set),CP-PCN-3RNPZFST,,Need,OLD - Popcorn Combo 3 pack,OLD - Ranch Seasoning
OLD,Need,Savory & Spicy Combo Pack (4 Set),CP-SVRSPC,,Need,OLD - Savory & Spicy Combo,OLD - Garlic Lover's Seasoning
OLD,Need,Sweet & Spicy Combo Pack (3 Set),CP-SWTSPC,,Need,OLD - Sweet & Spicy Combo,OLD - Ghost Seasoning
OLD,Need,Chocolate Donut Topper (Double Pack),DBLPK-CHCDNT,,Need,OLD - Double Pack - Chocolate Donut,OLD - Chocolate Donut Seasoning
OLD,Need,Chicken & Waffles Topper (Double Pack),DBLPK-TPR-CHKWFL,,Need,OLD - Double Pack - Chicken & Waffles Topper,OLD - Chicken and Waffles
OLD,Need,Football Combo Pack (3 Set),FB-PCK-JAN,,Need,OLD - Football Seasoning Pack,OLD - Pizza Seasoning
Current,,"Everything Bagel Seasoning Mix by Flavor God, Pack of 2 - Premium All Natural & Healthy Spice Blend for Bagels, Chicken, & Eggs - Kosher, Gluten-Free & No MSG",BND-EVBG-2,,,"Everything Bagel Seasoning, Pack of 2",Everything Bagel Seasoning
OLD,Need,"Keto Seasoning & Spices Pack (3 Set - Everything, Garlic Lovers, Taco) for Keto Diet on Keto Meals, Keto Spices, No Carb Seasonings, Keto Taco Seasoning, BBQ Keto, Chicken Spices by Flavor God",FG-KETO-3B,,Need,OLD - Keto 3 Bottle Combo Pack,OLD - Everything Seasoning
OLD,Need,"Keto Seasoning & Spices Pack (6 Set - Everything, Garlic Lovers, Taco, Pizza, Nacho Cheese, Himalayan Salt & Pink Peppercorn) for Keto Diet on , Keto Spices, No Carb, Keto Condiments by Flavor God",FG-KETO-6B-2,,Need,OLD - Keto 6 Bottle Combo Pack,OLD - Nacho Cheese
OLD,Need,Munchies Combo Pack (4 Set),FG-MNCHCP,,Need,OLD - Munchies Combo Pack,OLD - Pizza Seasoning
Current,,"Cold Stone Creamery Ice Cream Seasoning Toppers by FlavorGod (2-Pack) - Healthy Dessert Toppers - 0 Calories, 0 Sodium, Kosher - Try with Coffee, Yogurt, & Ice Cream - Cheesecake & Vanilla Combo",CLST-CHVN-2,,,Cold Stone Combo - Cheesecake & Vanilla Waffle Cone,Cold Stone Cheesecake
Current,,"Ranch Seasoning by Flavor God, Sugar Free Ranch Substitute Low Sodium Seasoning, Gluten-Free Dry Ranch Mix, Keto & Paleo Friendly Ranch Seasoning Salad Dressing for Pizza, Popcorn, & Salads - 4.2 OZ",TP-RNCH,TP-RNCH,,,#N/A
Current,,"The Original Pumpkin Pie Spice Topper Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Donuts & Smoothies - Kosher, Low Sodium, Dairy-Free, Vegan & Keto Friendly",TP-PMPI,TP-PMPI,,,#N/A
Current,,"Gingerbread Cookie Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Ice Cream, Coffee, Donuts & Cookies - Kosher, Low Sodium, Dairy-Free & Gluten-Free - Great Flavor Spices",TP-GBCK,TP-GBCK,,,#N/A
Current,,"Fiesta Sweet & Tangy Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Salad, Pasta, Chicken & Seafood - Kosher, Low Sodium, Dairy-Free, Vegan & Keto Friendly",TP-FSTA,TP-FSTA,,,#N/A
Current,,"Chicken & Waffles Seasoning Topper Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Chicken, Pasta & Vegetables - Kosher, Low Sodium, & Gluten-Free - Great Flavor Spices and Seasonin",TP-CHWF,TP-CHWF,,,#N/A
Current,,FlavorGod Chocolate Donut Topper,TP-CHDN,TP-CHDN,,,#N/A
Current,,FlavorGod Buttery Cinnamon Roll Topper,TP-BCRL,TP-BCRL,,,#N/A
